alias,technicalName,establishedBy,yearEstablished,linkToVideo,startPos,endPos,difficultyLevel,description,tips
Spiral,Nevermind BS 360 to Chest,David Palomo,2021,https://youtu.be/7yLCyoHgUS0?t=746,NEVERMIND,CHEST,,Do a Nevermind up but instead of going to Feet you turn 360 and land in Chest.,
-,Orbital,Ian Eisenberg,2020,https://youtu.be/qLEnzTtvTcA?t=109,STAND,KOREAN,,"Grab the line with one hand, bring it around your body by passing it to your other hand and land in Korean.",
-,180 Orbital,Ian Eisenberg,2021,https://youtu.be/A8O3iGYGPPk?t=146,STAND,KOREAN,,Do a 180 and then an Orbital.,
-,Orbital to Feet,Ian Eisenberg,2020,https://youtu.be/Ab2gW1rv5e8?t=69,STAND,EXPOSURE,,"Grab the line with one hand, bring it around your body by passing it to your other hand and then land in Exposure.",
-,360 Orbital to Feet,Ian Eisenberg,2021,https://youtu.be/A8O3iGYGPPk?t=175,STAND,STAND,,Orbital to Feet but with a 360 spin.,
Exporbital,Exposure Orbital to Sofa,Ian Eisenberg,2021,https://youtu.be/2ykEngQRgKo?t=6,EXPOSURE,SOFA,,Orbital to Sofa but starting in Exposure.,
-,Panic Roll,Jediah Doohan,-,https://www.youtube.com/watch?v=pZihozjqHfc,SOFA,KOREAN,,From Sofa you spin 270 to land in Korean (or Chest) and combine it with a roll around the line.,Sit in Sofa position grab the line to the side of you with hands facing behind you. On the way up dive down where your hands are and roll around the line. Land in Korean or Chest.
-,Panic Roll to Feet,Anthony Boulay,-,https://www.youtube.com/watch?v=hQaJ54xvfOA&list=PLWvg5YoPcTc6dzg6jYC3dfGPR_99_E3an&index=32,SOFA,EXPOSURE,,Panic Roll but landing to Feet.,During the roll get your far foot on the line. At the end of the roll get your second foot up on the line.
-,Panic Double Roll to Feet,Justin Wagers,2021,https://youtu.be/RDVaUFdqMmE?t=261,SOFA,EXPOSURE,,Panic Roll with an additional Chest Roll landing to Feet.,
Panic Attack,Panic Roll to Feet (No Hands),Ian Eisenberg,2021,https://youtu.be/7yLCyoHgUS0?t=1354,SOFA,EXPOSURE,,You do a Panic Roll to Feet but don't use your hands to hold the line. Instead use your foot to hook the line and go to Feet.,
-,Panic Roll to Sofa,Salomé Cholet,2021,https://youtu.be/7yLCyoHgUS0?t=491,SOFA,SOFA,,Do a Panic Roll but before you land throw your second leg on the other side of the line as well to land back in Sofa.,
-,Backbounce Panic Roll to Feet,Lukas Irmler,2018,https://youtu.be/Se5XNo0RSP8?t=437,BACK,EXPOSURE,,From Backbounce go into the Panic Roll to Feet.,
-,Panic Roll to Shoulder,-,-,https://youtu.be/uOuqykzwN7w?t=48,SOFA,SHOULDER,,Do the Panic Roll but instead of landing in Chest you go into Shoulderstand.,Regrab with one hand to land comfortably in Shoulderstand.
-,Flowflip,Lukas Irmler,-,https://www.youtube.com/watch?v=qyVdJu3VsAA&list=PLWvg5YoPcTc6dzg6jYC3dfGPR_99_E3an&index=24,KOREAN,CHEST,,Similar to a Panic Roll but you start from Korean turned 90 further away to where you want to go.,Grab the line behind your back and let yourself fall backwards. The rest happens by magic!
-,Flowflip to Feet,-,-,https://www.youtube.com/watch?v=kn15JZJOuAg&list=PLWvg5YoPcTc6dzg6jYC3dfGPR_99_E3an&index=31,KOREAN,EXPOSURE,,Flowflip but landing to Feet in Exposure.,During the flip get your far foot on the line. At the end of the flip get your second foot up on the line.
-,Rocket Mount,Samuel Volery,2017,https://www.youtube.com/watch?v=_kGvr00D4fM,HANG,EXPOSURE,,From Hanging fly up to exposure.,Get some momentum with your legs in the bottom part of the bounce. As soon as you are weightless pull the line below your feet.; This trick doesn't require as much strength as you would think! It's all about getting enough momentum with your legs.; If you can't hold the bounce in the hanging position try again with less bounce.
-,Rocket Mount to Sofa,Samuel Volery,2017,https://youtu.be/hsALSrUdryU?t=73,HANG,SOFA,,From Hanging fly up to Sofa.,
,Rocket Mount to Shoulder,Samuel Volery,2017,https://youtu.be/Se5XNo0RSP8?t=527,HANG,SHOULDER,,From Hanging go up to shoulder stand.,When dropping down to Rocket already grab with the hands as you would for the Shoulderstand then you don't have to regrab.
-,Rocket Mount 180,Ian Eisenberg,2020,https://youtu.be/dG9sJvKjg6E?t=285,HANG,EXPOSURE,,Rocket Mount with a 180.,The movement in the end is comparable to the Sofa 360 to Feet.
-,Rocket Mount to Back Sofa Roll,David Palomo,2020,https://youtu.be/n_YEN0Yva5I?t=70,HANG,SOFA,,From Hanging swing your legs beside your hands (similar to a Sick Nasty movement) and go into a Back Sofa Roll.,
-,Rocket Mount 360,Sebastian Egger,2021,https://www.instagram.com/p/CPgJRJHK777/,HANG,EXPOSURE,,Rocket Mount with a 360.,First spin a little bit into the opposite direction to then explode out the way you really want to spin.; Try to avoid doing a Rocket Mount 180 and then restep with your feet but go for the 360 right away.
-,Rocket Mount Side Roll to Sofa,Ian Eisenberg,2021,https://youtu.be/7yLCyoHgUS0?t=1082,HANG,SOFA,,From Rocket Mount do a Side Roll with the axis of rotation perpendicular to the line and land in Sofa.,Flip one of your hands to allow for a better initiation of the momentum.
Rocket Rewind,Rocket Roll 180 to Sofa,Ian Eisenberg,2021,https://youtu.be/aYsX0kpCnAg?t=6,HANG,SOFA,,Start by doing a Rocket Mount but then go into a Belly Roll finishing with a 180 to Sofa.,Get a lot of momentum for the Rocket Roll and in the end do a 180 and stick your butt out as in the Sofa Roll 360.
Rocket Rewind Roll,Rocket Roll 180 Back Sofa Roll,Ian Eisenberg,2021,https://youtu.be/n2z3IyeQSj4?t=47,HANG,SOFA,,Rocket Rewind with an additional Back Sofa Roll in the end.,
Super Sonic Mount,Rocket Front Roll to Feet,Ian Eisenberg,2020,https://www.youtube.com/watch?v=r5rwYkvnbco,HANG,EXPOSURE,,From Hanging get a lot of momentum with your feet and do one front roll around the line and land in Exposure.,
Reverse Super Sonic Mount,Rocket Back Roll to Feet,Samuel Volery,2021,https://www.youtube.com/watch?v=EntnbHe_biY,HANG,EXPOSURE,,From hanging get a lot of momentum with your feet and do one back roll around the line and land in exposure.,
Full Rocket,Rocket 360 to Rocket,Ian Eisenberg,2021,https://youtu.be/aYsX0kpCnAg?t=23,HANG,HANG,,From Rocket do a 360 around an axis perpendicular to the line and land again in Rocket.,
-,Shrimpflip,Ian Eisenberg,2021,https://youtu.be/7yLCyoHgUS0?t=1501,HANG,HANG,,"From the Rocket you kick your feet trough your arms between the line and your body, regrab the line and land back in Rocket.",
King Prawn,Shrimpflip 180 to Feet,Ian Eisenberg,2021,https://youtu.be/7yLCyoHgUS0?t=1560,HANG,EXPOSURE,,Do a Shrimpflip 180 but then go to Feet.,
-,Rocket Backflip,Sebastian Egger,2021,https://youtu.be/9Ab1JPDJR-I?t=168,HANG,HANG,,"In Rocket do a backflip, completely letting go of the line and landing back in Rocket.",
-,Obi Wan,-,-,-,HANG,STAND,,It's a mix between Rocket Mount and Nevermind.,From Hanging use the bounce to get your feet up to the line and mantle in the same bounce.
-,Reverse Obi Wan,David Palomo,-,https://youtu.be/n_YEN0Yva5I?t=161,HANG,STAND,,Obi Wan but you go up behind the line.,Bring the foot that does not go to the line straight away far over the line to get your center of gravity right over the line and then put it on the line in the end of the trick.
Shuriken,Rocket Cartwheel to Hang,Ian Eisenberg,2020,https://youtu.be/qLEnzTtvTcA?t=26,HANG,HANG,,Do a 360 while hanging under the line.,
-,Cordova Roll,Ian Eisenberg,2020,https://youtu.be/Ab2gW1rv5e8?t=58,HANG,HANG,,Go up behind the line in a Double Drop Knee position but then fully extend your upper body and upper legs while keeping the line at your ankles behind your back. Roll around the line and end up back in Hanging.,
