alias,technicalName,establishedBy,yearEstablished,linkToVideo,startPos,endPos,difficultyLevel,description,tips
-,Exposure to Sofa,-,-,https://www.youtube.com/watch?v=_CqGa-iBrHE,EXPOSURE,SOFA,,From standing in Exposure go down to Sofa.,"Let your feet come towards your body, grab the line and then let your feet go.; As a pre-exercise try to just touch the line while bouncing in Exposure. This will help you control the line a lot better.; Don't just drop down to the line with your legs straight, bring the line towards your body in a controlled way."
-,Sofa to Exposure,-,-,https://www.youtube.com/watch?v=_CqGa-iBrHE,SOFA,EXPOSURE,,From Sofa stand up to Exposure.,Get one foot on the line and let go with the arm on the same side. Then press yourself up with this foot and the other hand and get your second foot on the line.
-,Sofa Roll 360,Anthony Boulay?,-,https://www.youtube.com/watch?v=ekkrE58S4O8,SOFA,SOFA,,Start like you would do a Panic Roll but in the end stick your butt out and land in Sofa.,
Nirvana,Sofa Roll 360 to Feet,Salomé Cholet,2021,https://youtu.be/7yLCyoHgUS0?t=580,SOFA,EXPOSURE,,Do a Sofa Roll 360 but go to Feet and land in Exposure.,
-,Sofa 360 to Feet,Tlaloc Moctezuma-Burns,2020,https://youtu.be/hsALSrUdryU?t=49,SOFA,EXPOSURE,,From Sofa you do a 360 and then land in Exposure,
-,Sofa 540 to Feet,Sebastian Egger,2021,https://www.instagram.com/p/CPgJRJHK777/,SOFA,EXPOSURE,,From Sofa you do a Sofa 360 to Feet but add a 180 in the end.,Try to not do the 360 and then restep to get the 540 but instead go for the 540 directly.
-,Sofa 360 Double Roll,Justin Wagers,2020,https://youtu.be/hsALSrUdryU?t=134,SOFA,SOFA,,Do a Sofa Roll 360 with an additional Back Sofa Roll in the end.,You have to be fast with the regrab.
-,Side Roll,Tlaloc Moctezuma-Burns,2020,https://youtu.be/Se5XNo0RSP8?t=563,SOFA,SOFA,,Sit in Sofa and roll to the side over your neck back to Sofa.,There are more comfortable tricks to try.
Utinni Roll,Side Sofa Roll,Michele Eibeck,2021,https://www.instagram.com/p/CNYQEb4Jt1M/,SOFA,SOFA,,Start in Sofa. Both hands next to you (right or left) holding on to the line. Then do a Sofa Roll with your body leaning towards the line where your hands are.,Stay small and compact during the roll.
Tamatta Roll,Double Sofa Roll to Feet,Axel Weber,2021,https://www.instagram.com/p/CLU7Ni-l1sY/,SOFA,EXPOSURE,,Double Sofa Roll landing in Exposure.,
-,540 Spin,Joshua Leupolz,2021,https://youtu.be/qUxUNfgvoPs?t=46,STAND,STAND,,Spin 540 on the line in a standing position.,
-,Double Drop Knee Roll to Feet,Domingo Capobentz,2021,https://youtu.be/7yLCyoHgUS0?t=1767,DOUBLEDROPKNEE,EXPOSURE,,From Double Drop Knee do a roll and stand up to land in Exposure.,
-,Inward Drop Knee Spin to Front Sofa Roll,Davis Hermes,2021,https://youtu.be/VP49hErTqM0?t=96,INWARD DROPKNEE,SOFA,,Start from Inward Drop Knee and spin 270 to go into a Front Sofa Roll.,
-,Double Double Drop Knee Roll,Davis Hermes,2021,https://youtu.be/VP49hErTqM0?t=125,DOUBLEDROPKNEE,DOUBLEDROPKNEE,,Double Roll in Double Drop Knee.,
,Freefall 360,Eli Ellis,2019,https://www.instagram.com/p/Bsi7_vTlN0Y/,SOFA,CHEST,,"Start in Sofa facing the anchor, spin 360 behind you down to Chest.",
,Freefall 360 Roll,Eli Ellis,2019,https://www.instagram.com/p/Bsi7_vTlN0Y/,SOFA,CHEST,,Freefall with a Roll. Similar to Panic Roll but starting in Sofa facing the other anchor.,
,Frodo Roll to Feet,Eli Ellis,2019,https://www.instagram.com/p/CIqfPhXhNw5/,FRODO,EXPOSURE,,Frodo Roll to Feet.,
,Frodo Roll from Feet,Eli Ellis,2019,https://www.instagram.com/p/CIqfPhXhNw5/,EXPOSURE,FRODO,,Roll down to Frodo.,
,Buddha Roll,Eli Ellis,2020,https://youtu.be/hsALSrUdryU?t=29,BUDDHA,BUDDHA,,Buddha Roll.,
,Frodo Roll to Buddha,Eli Ellis,2020,https://youtu.be/hsALSrUdryU?t=142,FRODO,BUDDHA,,Starting in Frodo do a roll and land in Buddha.,
Nasty Chest,Sick Nasty to Chest,Eli Ellis,2020,https://www.instagram.com/p/CJeCTdHBaUn/,SOFA,CHEST,,Sick Nasty landing in Chest.,
Nasty Chest Roll,Sick Nasty to Chest Roll,Eli Ellis,2020,https://www.instagram.com/p/CJeCTdHBaUn/,SOFA,CHEST,,Sick Nasty to Chest Roll.,
Chrysalis,Frontroll from Feet to Feet,Nick Day,2021,https://www.youtube.com/watch?v=lLCf6JFccwM,STAND,STAND,,In one bounce do a Frontroll starting from Feet and landing back to Feet.,Longer lines allow for more time to execute the trick.
